Route,Description,Back Peak Hour_2013,Back Peak Hour_2014,Back Peak Hour_2015,Back Peak Hour_2016,Back Peak Hour_2017,Back Peak Hour_2018,Back Peak Hour_2019,Back Peak Hour_2020,Back Peak Hour_2021,Back Peak Hour_2022,Route,Description,Back Peak Month_2013,Back Peak Month_2014,Back Peak Month_2015,Back Peak Month_2016,Back Peak Month_2017,Back Peak Month_2018,Back Peak Month_2019,Back Peak Month_2020,Back Peak Month_2021,Back Peak Month_2022,Route,Description,Back AADT_2013,Back AADT_2014,Back AADT_2015,Back AADT_2016,Back AADT_2017,Back AADT_2018,Back AADT_2019,Back AADT_2020,Back AADT_2021,Back AADT_2022,Route,Description,Ahead Peak Hour_2013,Ahead Peak Hour_2014,Ahead Peak Hour_2015,Ahead Peak Hour_2016,Ahead Peak Hour_2017,Ahead Peak Hour_2018,Ahead Peak Hour_2019,Ahead Peak Hour_2020,Ahead Peak Hour_2021,Ahead Peak Hour_2022,Route,Description,Ahead Peak AADT_2013,Ahead Peak AADT_2014,Ahead Peak AADT_2015,Ahead Peak AADT_2016,Ahead Peak AADT_2017,Ahead Peak AADT_2018,Ahead Peak AADT_2019,Ahead Peak AADT_2020,Ahead Peak AADT_2021,Ahead Peak AADT_2022,Route,Description,Ahead AADT_2013,Ahead AADT_2014,Ahead AADT_2015,Ahead AADT_2016,Ahead AADT_2017,Ahead AADT_2018,Ahead AADT_2019,Ahead AADT_2020,Ahead AADT_2021,Ahead AADT_2022
5,FRESNO/MERCED COUNTY LINE,5600,6500,5500,5200,5100,5400,5700,5100,5300,5400,5,FRESNO/MERCED COUNTY LINE,45500,46000,44500,49000,53000,52000,52000,52000,58000,51000,5,FRESNO/MERCED COUNTY LINE,37000,39000,37000,41000,43000,43000,43500,39000,44000,45000,5,FRESNO/MERCED COUNTY LINE,,,5600,,,0,,,,,5,FRESNO/MERCED COUNTY LINE,,,45500,,,0,,,,,5,FRESNO/MERCED COUNTY LINE,,,38000,,,0,,,,
5,JAYNE AVENUE,5300,4400,5200,5000,5200,5200,5300,,5200,5200,5,JAYNE AVENUE,37000,37500,44000,46000,48000,45500,46000,,52000,48500,5,JAYNE AVENUE,33000,33500,36000,37500,43000,39500,39500,,40500,41500,5,JAYNE AVENUE,5200,4400,5000,4950,5200,5200,5300,,5200,5200,5,JAYNE AVENUE,36500,37500,43000,45500,47500,45500,46000,,52000,48500,5,JAYNE AVENUE,32500,33500,35000,37000,43000,39500,39500,,40500,41500
5,JCT. RTE. 198,5200,4400,5000,4950,5200,5200,5300,4950,5100,5200,5,JCT. RTE. 198,36500,37500,43000,45500,47500,45500,46000,42000,53000,48000,5,JCT. RTE. 198,32500,33500,35000,37000,43000,39500,39500,35000,40000,40500,5,JCT. RTE. 198,5400,4600,5000,5100,5100,5300,5500,5200,5400,5400,5,JCT. RTE. 198,37500,38500,43000,47500,48000,46000,46500,44500,56000,50000,5,JCT. RTE. 198,33500,35000,35000,39000,43000,41000,41000,37000,42000,43500
5,"JCT. RTE. 269, LASSEN AVENUE",5500,4600, ,,5000,5300,5300,4950,5100,5100,5,"JCT. RTE. 269, LASSEN AVENUE",42500,42500, ,,47000,44500,45000,42000,51000,47500,5,"JCT. RTE. 269, LASSEN AVENUE",34500,35000, ,,42000,39500,39000,34500,40000,41000,5,"JCT. RTE. 269, LASSEN AVENUE",5300,4400,5200,,5200,5200,5300,4950,5200,5200,5,"JCT. RTE. 269, LASSEN AVENUE",37000,37500,44000,,48000,45500,46000,42000,52000,48500,5,"JCT. RTE. 269, LASSEN AVENUE",33000,33500,36000,,43000,39500,39500,35000,40500,41500
5,JCT. RTE. 33 NORTH,5400,4700,5200,5300,5100,5200,5300,5100,5300,5200,5,JCT. RTE. 33 NORTH,42500,39000,45000,48500,48500,45000,45500,44500,55000,49500,5,JCT. RTE. 33 NORTH,34000,35500,37000,40000,43000,40000,40000,36000,41000,43000,5,JCT. RTE. 33 NORTH,5300,4600,5300,5200,5200,5400,5300,5200,5300,4950,5,JCT. RTE. 33 NORTH,41500,38500,45500,44000,46000,44000,45500,44500,55000,49000,5,JCT. RTE. 33 NORTH,33000,34500,37500,38500,41000,40000,40000,36000,41000,43000
5,"JCT. RTE. 33 SOUTH, JCT. RTE. 145 NORTH",5400,4600,5000,5100,5100,5300,5500,5200,5400,5400,5,"JCT. RTE. 33 SOUTH, JCT. RTE. 145 NORTH",37500,38500,43000,47500,48000,46000,46500,44500,56000,50000,5,"JCT. RTE. 33 SOUTH, JCT. RTE. 145 NORTH",33500,35000,35000,39000,43000,41000,41000,37000,42000,43500,5,"JCT. RTE. 33 SOUTH, JCT. RTE. 145 NORTH",5400,5400,5200,5300,5100,5200,5300,5100,5300,5200,5,"JCT. RTE. 33 SOUTH, JCT. RTE. 145 NORTH",42500,39000,45000,48500,48500,45000,45500,44500,55000,49500,5,"JCT. RTE. 33 SOUTH, JCT. RTE. 145 NORTH",34000,35500,37000,40000,43000,40000,40000,36000,41000,43000
5,KAMM AVENUE,4600,4600,5300,5200,5200,5400,5300,,5300,4950,5,KAMM AVENUE,41500,38500,45500,44000,46000,44000,45500,,55000,49000,5,KAMM AVENUE,33000,34500,37500,38500,41000,40000,40000,,41000,43000,5,KAMM AVENUE,4700,4700,4900,5400,5300,5600,5600,,5300,5000,5,KAMM AVENUE,41500,38500,42000,45500,45500,44000,44000,,56000,50000,5,KAMM AVENUE,33500,35000,36500,39500,41500,41000,41000,,42000,43000
5,KINGS/FRESNO COUNTY LINE,,, ,,,0,,,,,5,KINGS/FRESNO COUNTY LINE,,, ,,,0,,,,,5,KINGS/FRESNO COUNTY LINE,,, ,,,0,,,,,5,KINGS/FRESNO COUNTY LINE,5500,4600,3800,5300,5000,5300,5300,4950,5100,5100,5,KINGS/FRESNO COUNTY LINE,42500,37500,41000,47500,47000,44500,45000,42000,51000,47500,5,KINGS/FRESNO COUNTY LINE,34500,35000,37750,39000,42000,39500,39000,34500,40000,41000
5,MANNING AVENUE,4700,4700,4900,5400,5300,5600,5600,,5300,5000,5,MANNING AVENUE,41500,38500,42000,45500,45500,44000,44000,,56000,50000,5,MANNING AVENUE,33500,35000,36500,39500,41500,41000,41000,,42000,43000,5,MANNING AVENUE,5000,5000,5000,5400,5400,5500,5500,,5300,5100,5,MANNING AVENUE,43500,40000,43000,46500,47000,46000,46000,,56000,50000,5,MANNING AVENUE,35500,37500,37000,40500,42500,41500,41500,,42500,43500
5,NEES AVENUE,5200,6200,5400,5200,5000,5300,5400,,5100,5200,5,NEES AVENUE,42500,46000,41500,48500,49500,49000,49000,,56000,49500,5,NEES AVENUE,34500,36500,36500,40500,41500,41000,41000,,42000,43000,5,NEES AVENUE,5600,6500,5500,5200,5100,5400,5700,,5300,5400,5,NEES AVENUE,45500,46000,44500,49000,53000,52000,52000,,58000,51000,5,NEES AVENUE,37000,39000,37000,41000,43000,43000,43500,,44000,45000
